text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
myb,myb,ADV,RB,appos,True,False,19,[u'The parent path Ex resA myA resB myB ', u'The parent path Ex resA myA resB myB ']
deal,deal,VERB,VBN,conj,True,False,1,[u'Disables the specified job preventing new tasks from running The Batch Service immediately moves the job to the disabling state Batch then uses the disableTasks parameter to determine what to do with the currently running tasks of the job The job remains in the disabling state until the disable operation is completed and all tasks have been dealt with according to the disableTasks option the job then moves to the disabled state No new tasks are started under the job until it moves back to active state If you try to disable a job that is in any state other than active disabling or disabled the request fails with status code 409 ']
boot,boot,NOUN,NN,compound,True,False,6,[u'Get the boot diagnostics log from a VM ', u'Disable the boot diagnostics on a VM ']
detail,detail,NOUN,NNS,dobj,True,False,252,[u'Get the details of a public IP address ', u'Get the details of a blob ']
virtual,virtual,ADJ,JJ,amod,True,False,287,[u'Check if a private IP address is available for use within a virtual network ', u'The virtual network VNet name ']
sourceid,sourceid,PROPN,NNP,pobj,True,False,1,[u'Create a link from SourceID to ResourceID with notes']
other,other,ADJ,JJ,amod,True,False,741,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'Whether tasks in the job can define dependencies on each other The default is false True if flag present ']
details,details,PROPN,NNP,dobj,True,False,5,[u'Shows Service Bus Subscription Details', u'shows the Service Bus Queue Details']
branch,branch,NOUN,NN,ROOT,True,False,6,[u'the branch to deploy', u'the branch name of the repository']
remoteus,remoteus,ADJ,PDT,pobj,True,False,3,[u'A list of certificates to be installed on each compute node in the pool If this element is present it replaces any existing certificate references configured on the pool If omitted any existing certificate references are left unchanged For Windows compute nodes the Batch service installs the certificates to the specified certificate store and location For Linux compute nodes the certificates are stored in a directory inside the task working directory and an environment variable AZ_BATCH_CERTIFICATES_DIR is supplied to the task to query for this location For certificates with visibility of remoteUser a certs directory is created in the user s home directory e g home user name certs and certificates are placed in that directory Space separated certificate thumbprints ', u'The list of certificates to be installed on each compute node in the pool For Windows compute nodes the Batch service installs the certificates to the specified certificate store and location For Linux compute nodes the certificates are stored in a directory inside the task working directory and an environment variable AZ_BATCH_CERTIFICATES_DIR is supplied to the task to query for this location For certificates with visibility of remoteUser a certs directory is created in the user s home directory e g home user name certs and certificates are placed in that directory Space separated certificate thumbprints ']
